Sex,Age-group,State of Residence,Area Type,FP2030 policy awarenes,Barriers to FP2030 implementation
Female,25-35,Gombe,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,18-24,Gombe,Urban,No,Lack of awareness;
Female,46-55,Ekiti,Urban,Yes,Limited healthcare infrastructure;
Female,25-35,Kano,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;
Male,36-45,Ekiti,Urban,Yes,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Ekiti,Rural,Yes,Limited healthcare infrastructure;
Male,18-24,Kano,Urban,No,No Idea;
Female,46-55,Abia,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;Inadequate funding;
Female,18-24,Gombe,Urban,No,Lack of awareness;
Female,25-35,Kano,Urban,No,No Idea;Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;
Female,25-35,Kano,Rural,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Resistance and stigmatisation ;
Male,25-35,Kano,Urban,No,Lack of awareness;
Female,18-24,Gombe,Urban,No,Lack of awareness;No Idea;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Kano,Rural,Yes,Lack of awareness;Inadequate funding;Weak political will;Resistance from traditional/religious leaders;
Male,25-35,Kano,Rural,Yes,Lack of awareness;Inadequate funding;Weak political will;Resistance from traditional/religious leaders;
Male,36-45,Edo,Urban,Yes,Lack of awareness;Inadequate funding;
Male,36-45,Bauchi,Urban,No,No Idea;
Female,25-35,Ebonyi,Urban,Yes,Limited healthcare infrastructure;Weak political will;
Female,56 and above,Edo,Urban,Yes,Inadequate funding;Resistance from traditional/religious leaders;Lack of awareness;
Male,36-45,Enugu,Urban,No,No Idea;Weak political will;
Female,36-45,Enugu,Urban,No,No Idea;
Female,36-45,Edo,Rural,Yes,Resistance from traditional/religious leaders;Limited healthcare infrastructure;
Male,46-55,Edo,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Female,18-24,Taraba,Urban,No,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;
Male,25-35,Abia,Urban,No,No Idea;
Female,46-55,Edo,Rural,Yes,Limited healthcare infrastructure;
Female,56 and above,Taraba,Urban,Yes,Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,36-45,Edo,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Taraba,Urban,No,No Idea;
Female,46-55,Edo,Urban,Yes,Limited healthcare infrastructure;
Female,25-35,Abia,Urban,Yes,Limited healthcare infrastructure;
Male,36-45,Edo,Urban,No,Lack of awareness;
Female,25-35,Ebonyi,Urban,Yes,Lack of awareness;Resistance from traditional/religious leaders;Limited healthcare infrastructure;
Female,36-45,Edo,Urban,No,Limited healthcare infrastructure;Lack of awareness;Resistance from traditional/religious leaders;No Idea;
Female,36-45,Edo,Urban,Yes,Resistance from traditional/religious leaders;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Male,46-55,Edo,Urban,No,Lack of awareness;Limited healthcare infrastructure;Weak political will;Injustice to victims;
Male,36-45,Ebonyi,Rural,Yes,Resistance from traditional/religious leaders;Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Edo,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;Shortage of experienced professionals and personal ;
Female,36-45,Kano,Urban,No,Lack of awareness;Limited healthcare infrastructure;Inadequate funding;
Male,36-45,Edo,Rural,No,No Idea;
Female,46-55,Bauchi,Urban,Yes,Lack of awareness;No Idea;Inadequate funding;Limited healthcare infrastructure;Weak political will;Continous sensitization of male folks;Resistance from traditional/religious leaders;
Male,36-45,Kano,Urban,Yes,Lack of awareness;Weak political will;Limited healthcare infrastructure;
Male,25-35,Ebonyi,Urban,Yes,Weak political will;Limited healthcare infrastructure;Inadequate funding;Lack of awareness;Poor accessibility ;
Female,25-35,Enugu,Urban,Yes,No Idea;Lack of awareness;Limited healthcare infrastructure;
Male,36-45,Ebonyi,Rural,Yes,Limited healthcare infrastructure;Lack of awareness;
Female,25-35,Bauchi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,25-35,Abia,Urban,No,No Idea;
Male,25-35,Kano,Urban,No,Weak political will;
Female,46-55,Edo,Urban,No,Lack of awareness;No Idea;Weak political will;
Female,36-45,Edo,Urban,Yes,Limited healthcare infrastructure;Weak political will;
Male,36-45,Ebonyi,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;
Female,36-45,Enugu,Rural,No,Lack of awareness;
Male,25-35,Bauchi,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;
Female,18-24,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Victims are more scared to report cases of gb/sgbv;
Male,36-45,Bauchi,Rural,Yes,Lack of awareness;
Male,36-45,Bauchi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,25-35,Kano,Urban,Yes,Lack of awareness;Limited healthcare infrastructure;Weak political will;
Female,25-35,Bauchi,Rural,No,No Idea;
Female,36-45,Ebonyi,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;
Female,25-35,Kano,Rural,Yes,Weak political will;Limited healthcare infrastructure;Lack of awareness;Resistance from traditional/religious leaders;No Idea;Inadequate funding;
Female,25-35,Abia,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
Female,36-45,Taraba,Urban,Yes,Lack of awareness;Inadequate funding;Limited healthcare infrastructure;Weak political will;
