sex,age_group,state_of_residence,area_type,fp2030_policy_awarenes,barriers_final
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,No,No idea
Female,18-24,Abia,Rural,Yes,Lack of awareness
Female,18-24,Abia,Rural,Yes,Limited healthcare infrastructure
Female,18-24,Abia,Rural,Yes,Inadequate funding
Female,18-24,Abia,Rural,Yes,Weak political will
Female,18-24,Abia,Rural,Yes,
Female,18-24,Abia,Rural,Yes,Lack of awareness
Female,18-24,Abia,Rural,Yes,Resistance from traditional/religious leaders
